98,100
98,103
98,106
98,107
98,111
98,114
98,115
98,118
98,121
98,122
98,124
98,128
98,129
98,133
98,134
98,136
98,137
98,138
98,142
98,143
100,99
100,110
102,103
102,106
103,99
106,107
106,110
106,121
107,99
110,114
111,99
114,115
114,118
114,120
114,128
114,129
114,133
114,134
114,142
114,143
115,99
118,142
120,121
120,128
120,133
120,142
121,122
121,124
121,128
121,133
121,142
122,129
122,134
122,142
124,99
128,129
128,130
128,133
128,134
128,143
129,130
129,133
129,134
129,142
129,143
130,133
130,134
130,143
133,134
133,136
133,143
134,99
134,136
136,137
136,138
136,142
136,143
137,142
138,143
142,143
